eps_a	eps_b	eps_c
-9.35e-07	-1.434e-06	-1.071e-06
-1.917e-06	-3.69e-06	-1.395e-06
-8.87e-07	-4.205e-06	-3.831e-06
-1.915e-06	-2.806e-06	-4.458e-06
8.97e-07	-2.978e-06	-2.061e-06
-1.897e-06	-3.203e-06	-3.384e-06
-2.533e-06	-1.545e-06	-4.278e-06
-1.72e-06	-3.6e-07	-2.496e-06
-4.083e-06	-1.335e-06	-3.984e-06
-2.649e-06	-2.414e-06	-1.84e-06
-2.334e-06	-2.269e-06	-3.835e-06
-2.69e-06	-3e-06	-1.267e-06
-1.267e-06	-2.573e-06	-1.237e-06
-2.34e-06	-3.51e-06	-1.758e-06
-9.35e-07	-3.447e-06	-1.962e-06
-1.292e-06	-9.33e-07	-3.461e-06
-1.16e-06	-1.388e-06	-1.479e-06
-2.318e-06	-1.396e-06	-1.069e-06
-2.81e-06	-2.206e-06	-2.086e-06
-1.159e-06	-1.553e-06	-3.601e-06
-2.38e-07	-1.902e-06	-2.159e-06
-2.184e-06	-1.747e-06	-1.653e-06
-1.805e-06	-4.042e-06	-3.614e-06
-2.469e-06	-2.794e-06	-1.433e-06
-3.23e-06	-2.059e-06	-2.236e-06
-2.941e-06	-2.082e-06	-4.646e-06
-2.826e-06	-1.805e-06	-1.601e-06
-3.83e-06	-2.305e-06	-2.217e-06
-1.64e-06	-2.529e-06	-1.882e-06
-2.661e-06	-2.563e-06	-1.474e-06
-3.278e-06	-2.556e-06	-2.599e-06
-3.702e-06	-3.952e-06	-2.145e-06
-2.467e-06	-1.802e-06	-2.085e-06
-1.463e-06	-2.258e-06	-2.956e-06
-2.811e-06	-4.064e-06	-3.647e-06
-1.76e-06	-2.066e-06	-4.123e-06
-1.221e-06	-1.762e-06	-3.428e-06
-6.31e-07	-3.434e-06	-1.947e-06
-3.8e-06	-2.381e-06	-4.678e-06
-2.448e-06	-2.448e-06	-3.927e-06
-3.533e-06	-1.952e-06	-5.074e-06
-4.021e-06	-4.216e-06	3.34e-07
-2.146e-06	-3.018e-06	-1.267e-06
-4.029e-06	-2.973e-06	-1.745e-06
-9.65e-07	-2.287e-06	-2.653e-06
-3.116e-06	-1.13e-06	-2.325e-06
-2.447e-06	-2.238e-06	-2.76e-06
-2.486e-06	-1.968e-06	-2.486e-06
-5.6e-07	-2.769e-06	-2.925e-06
-3.558e-06	-2.444e-06	-1.948e-06
-8.26e-07	-7.15e-07	-8.2e-07
-7.78e-07	-2.522e-06	-1.834e-06
-1.804e-06	-2.173e-06	-2.527e-06
-3.084e-06	-2.416e-06	-2.501e-06
-1.674e-06	-2.82e-06	-8.79e-07
-1.319e-06	-2.494e-06	-1.336e-06
-1.87e-06	-2.55e-06	-6.24e-07
-2.71e-06	-2.214e-06	-2.204e-06
-5.25e-07	-2.884e-06	-3.059e-06
-2.923e-06	-2.638e-06	-1.845e-06
-3.528e-06	-2.214e-06	-2.913e-06
-2.193e-06	5.38e-07	-2.545e-06
-2.504e-06	-3.439e-06	-1.678e-06
-2.364e-06	-2.538e-06	-3.88e-07
8.49e-07	-3.883e-06	-1.135e-06
-1.383e-06	-2e-06	-1.038e-06
-3.9e-08	-2.018e-06	-7.26e-07
-1.78e-06	-1.928e-06	-9.88e-07
-8.45e-07	-1.516e-06	1.31e-07
4.05e-07	-1.891e-06	-5.71e-07
-1.352e-06	-1.328e-06	1.11e-06
-2.218e-06	-1.157e-06	1.12e-06
8e-09	-2.954e-06	-2.16e-07
-1.296e-06	-3.47e-06	-1.645e-06
-1.179e-06	-2.939e-06	-2.316e-06
-8.09e-07	-3.099e-06	-1.567e-06
-1.113e-06	-3.78e-07	-2.853e-06
-7.2e-08	-2.165e-06	6.66e-07
1.171e-06	-2.849e-06	-6.7e-08
-5.37e-07	-1.2e-06	-4.24e-07
-1.018e-06	-3.743e-06	-9.1e-07
5.36e-07	-3.708e-06	-5.14e-07
3.65e-07	-2.912e-06	-6.96e-07
2.1e-07	-2.909e-06	-9.2e-08
-9.05e-07	-2.85e-06	3.96e-07
-7.76e-07	-2.745e-06	-1.701e-06
-1.49e-07	-2.461e-06	-1.787e-06
-3.05e-07	-2.82e-06	-7.49e-07
-9.35e-07	-2.07e-06	-7.05e-07
5.15e-07	-1.673e-06	-5.56e-07
3.51e-07	-3.882e-06	2.366e-06
1.802e-06	-3.534e-06	-8e-07
1.87e-06	-6.162e-06	8.19e-07
6.01e-07	-3.48e-06	8.73e-07
1.458e-06	-2.634e-06	-5.8e-07
6.99e-07	-3.737e-06	1.324e-06
-1.04e-07	-3.323e-06	2.208e-06
-5.24e-07	-5.315e-06	1.4e-07
1.34e-07	-4.613e-06	1.577e-06
2.413e-06	-4.153e-06	6.3e-07
9.98e-07	-3.589e-06	-1.554e-06
1.304e-06	-2.399e-06	-6.36e-07
1.5e-08	-4.299e-06	5.95e-07
1.4e-07	-5.425e-06	9.01e-07
3.043e-06	-2.97e-06	2.856e-06
3.703e-06	-4.183e-06	2.533e-06
4.135e-06	-5.687e-06	4.939e-06
4.903e-06	-4.363e-06	4.216e-06
4.568e-06	-7.267e-06	3.577e-06
3.351e-06	-3.674e-06	4.169e-06
4.727e-06	-3.526e-06	3.214e-06
5.393e-06	-5.009e-06	3.731e-06
3.911e-06	-6.084e-06	3.041e-06
4.484e-06	-6.213e-06	5.644e-06
3.892e-06	-3.746e-06	3.592e-06
5.52e-06	-6.247e-06	6.669e-06
7.418e-06	-5.221e-06	7.567e-06
8.121e-06	-6.641e-06	9.46e-06
1.0296e-05	-6.142e-06	1.0422e-05
1.1451e-05	-7.623e-06	1.1276e-05
1.0572e-05	-6.867e-06	1.0624e-05
1.2174e-05	-7.759e-06	1.1214e-05
9.702e-06	-6.494e-06	1.1451e-05
1.0297e-05	-6.861e-06	1.0128e-05
1.0464e-05	-6.289e-06	1.0074e-05
8.877e-06	-8.697e-06	1.3011e-05
1.0171e-05	-9.234e-06	1.2188e-05
1.1858e-05	-1.0421e-05	1.6246e-05
1.5607e-05	-9.747e-06	1.6123e-05
2.0214e-05	-1.2175e-05	1.9746e-05
2.2214e-05	-1.1415e-05	2.2226e-05
2.5084e-05	-1.2127e-05	2.4309e-05
2.3283e-05	-1.2524e-05	2.4402e-05
2.3138e-05	-1.2692e-05	2.294e-05
2.2091e-05	-1.1695e-05	2.1071e-05
2.3172e-05	-1.3383e-05	2.3556e-05
2.1826e-05	-1.3083e-05	2.3562e-05
2.0805e-05	-1.3624e-05	2.2188e-05
2.4323e-05	-1.3072e-05	2.5215e-05
3.1396e-05	-1.5345e-05	3.0265e-05
3.3517e-05	-1.6003e-05	3.501e-05
3.8038e-05	-1.7641e-05	3.9505e-05
3.8957e-05	-2.0633e-05	4.2804e-05
4.1318e-05	-2.0827e-05	4.3601e-05
4.176e-05	-1.8972e-05	4.2968e-05
4.1101e-05	-1.742e-05	4.215e-05
3.9862e-05	-1.7884e-05	4.3086e-05
4.0984e-05	-2.0243e-05	4.0983e-05
4.0768e-05	-2.0897e-05	4.3932e-05
4.2012e-05	-1.7545e-05	4.3902e-05
4.2098e-05	-2.0085e-05	4.5968e-05
4.7576e-05	-2.223e-05	4.7236e-05
5.0116e-05	-2.304e-05	5.2808e-05
5.4519e-05	-2.3087e-05	5.4572e-05
5.9759e-05	-2.5091e-05	6.123e-05
6.3218e-05	-2.7949e-05	6.5186e-05
6.3968e-05	-2.8785e-05	6.4689e-05
6.2477e-05	-2.8128e-05	6.7429e-05
6.4241e-05	-2.8099e-05	6.6429e-05
6.3705e-05	-2.9672e-05	6.8354e-05
6.6171e-05	-2.9276e-05	6.7749e-05
6.2672e-05	-2.8261e-05	6.7555e-05
6.488e-05	-2.9462e-05	6.8217e-05
6.4046e-05	-2.8856e-05	6.7351e-05
6.3596e-05	-2.7856e-05	6.6898e-05
6.7846e-05	-2.9358e-05	7.0197e-05
7.5027e-05	-3.388e-05	7.65e-05
7.9129e-05	-3.4614e-05	8.6218e-05
8.3432e-05	-3.6561e-05	9.0291e-05
8.557e-05	-3.7271e-05	9.3578e-05
8.7361e-05	-3.8341e-05	9.5549e-05
8.8977e-05	-3.8633e-05	9.3923e-05
8.6477e-05	-3.9613e-05	9.4965e-05
8.5791e-05	-3.9055e-05	9.4647e-05
8.701e-05	-3.906e-05	9.7577e-05
8.6375e-05	-3.8484e-05	9.5391e-05
8.573e-05	-3.8423e-05	9.6998e-05
8.9013e-05	-3.6645e-05	9.6287e-05
8.662e-05	-3.6835e-05	9.5425e-05
9.02e-05	-3.7113e-05	9.6453e-05
9.1311e-05	-3.9084e-05	9.8002e-05
9.1748e-05	-3.9805e-05	0.000101611
9.5827e-05	-4.2641e-05	0.000101612
0.000103057	-4.4552e-05	0.000110434
0.000106664	-4.8169e-05	0.000115946
0.000110372	-4.7776e-05	0.000120232
0.00010968	-4.9856e-05	0.000122283
0.000111695	-5.08e-05	0.000120865
0.000108561	-4.9601e-05	0.000122926
0.000109134	-5.0514e-05	0.000121609
0.000107012	-4.9434e-05	0.00012184
0.000109486	-5.0226e-05	0.000123761
0.000110286	-5.0411e-05	0.000122562
0.000108094	-5.0763e-05	0.000122476
0.000110253	-5.0849e-05	0.00012213
0.000111813	-4.937e-05	0.000126022
0.000112973	-5.2422e-05	0.000127855
0.000115088	-5.3852e-05	0.000129548
0.000119334	-5.6658e-05	0.000132565
0.00012282	-5.8922e-05	0.000138093
0.000127224	-5.9957e-05	0.000143783
0.0001298	-6.4939e-05	0.000146228
0.000131054	-6.1952e-05	0.000147602
0.000131919	-6.4962e-05	0.000150236
0.000133715	-6.5059e-05	0.000150679
0.000130025	-6.4913e-05	0.000149748
0.000131814	-6.455e-05	0.000150742
0.000131734	-6.5262e-05	0.000149921
0.000130541	-6.4927e-05	0.000148581
0.000130738	-6.6114e-05	0.00014908
0.000130804	-6.6048e-05	0.000149473
0.000132018	-6.6666e-05	0.000149697
0.000131192	-6.6806e-05	0.000149681
0.000130953	-6.5787e-05	0.00015336
0.000135152	-6.872e-05	0.000155607
0.000137816	-6.9881e-05	0.000156689
0.000141013	-7.2535e-05	0.000163334
0.000143284	-7.408e-05	0.000165015
0.000144749	-7.6651e-05	0.00016901
0.000147867	-7.9103e-05	0.00017046
0.000149541	-8.1073e-05	0.000172543
0.000149749	-8.1556e-05	0.000172211
0.000148806	-8.1979e-05	0.000171678
0.000147155	-8.2872e-05	0.000171346
0.000149494	-8.1789e-05	0.000172341
0.000149369	-8.1041e-05	0.000172069
0.000148482	-8.1184e-05	0.000173706
0.000148752	-8.2488e-05	0.000171603
0.000146938	-8.1575e-05	0.000173015
0.000145062	-8.0219e-05	0.000172489
0.000148138	-8.1158e-05	0.0001717
0.000147376	-8.1207e-05	0.000171009
0.000147095	-8.2254e-05	0.00017225
0.00014528	-8.1153e-05	0.000170901
0.00014792	-8.3041e-05	0.000175306
0.000147716	-8.1949e-05	0.000172363
0.000147098	-8.2226e-05	0.000172365
0.000147043	-8.274e-05	0.000171287
0.000146936	-8.3898e-05	0.000171577
0.000146458	-8.3563e-05	0.000171735
0.000145852	-8.1907e-05	0.000172075
0.000145052	-8.3664e-05	0.00017173
0.000148075	-8.352e-05	0.000171144
0.000149879	-8.3892e-05	0.000172871
0.000148712	-8.2795e-05	0.000172009
0.00014722	-8.2798e-05	0.000170885
0.000146595	-8.3125e-05	0.000171852
0.000147679	-8.4738e-05	0.000171844
0.000147247	-8.1707e-05	0.0001722
0.000146416	-8.4035e-05	0.000171361
0.000149788	-8.3098e-05	0.000171735
0.000147306	-8.1947e-05	0.000171457
0.00014669	-8.1098e-05	0.000170262
0.000148376	-8.17e-05	0.000171897
0.000146899	-8.0423e-05	0.000171181
0.000147244	-8.1561e-05	0.000172825
0.000147427	-8.3431e-05	0.000171102
0.000145434	-8.3155e-05	0.000173697
0.000146454	-8.2992e-05	0.000171452
0.000146605	-8.3094e-05	0.000169347
0.000146514	-8.3523e-05	0.000172169
0.000145591	-8.3309e-05	0.000171453
0.000146688	-7.9756e-05	0.00017272
0.000146738	-8.3785e-05	0.000171772
0.000145415	-8.4897e-05	0.000172479
0.000145076	-8.3261e-05	0.000170606
0.00014554	-8.2163e-05	0.000172421
0.000145612	-8.3255e-05	0.000170592
0.000146006	-8.2791e-05	0.000172778
0.000146177	-8.1869e-05	0.000169523
0.000147894	-8.3682e-05	0.000171918
0.000148065	-8.4948e-05	0.000171952
0.000147245	-8.298e-05	0.000171655
0.000146999	-8.3506e-05	0.000171708
0.000147501	-8.29e-05	0.000171406
0.000146729	-8.3735e-05	0.000170921
0.000147287	-8.342e-05	0.000170517
0.000148814	-8.2896e-05	0.000173515
0.000148094	-8.1495e-05	0.000171244
0.000148183	-8.2805e-05	0.000170167
0.000147413	-8.264e-05	0.000170842
0.000146433	-8.2324e-05	0.000172928
0.000146645	-8.2362e-05	0.000173431
0.000146513	-8.2245e-05	0.000172758
0.000146076	-8.0658e-05	0.000171654
0.00014795	-8.1602e-05	0.000172772
0.00014636	-8.1947e-05	0.000172442
0.000144712	-8.2814e-05	0.000171803
0.000146598	-8.3799e-05	0.000171153
0.000147002	-8.3256e-05	0.000171994
0.000147262	-8.2545e-05	0.00017192
0.000146589	-8.4202e-05	0.000171075
0.000146824	-8.4245e-05	0.000170194
0.00014587	-8.2111e-05	0.000170881
0.000147138	-8.2132e-05	0.000171032
0.000146956	-8.3623e-05	0.000171053
0.000148187	-8.3363e-05	0.000170279
0.000145345	-8.3661e-05	0.00016973
0.000149638	-8.0808e-05	0.00017089
0.00014667	-8.2335e-05	0.000173062
0.000147588	-8.2546e-05	0.00017251
0.000148165	-8.0286e-05	0.000173136
0.000145587	-8.3196e-05	0.000173019
0.000146017	-7.9921e-05	0.0001719
0.000147087	-8.2893e-05	0.000171832
0.000148013	-8.2052e-05	0.000172646
0.000149191	-8.172e-05	0.000172096
0.000147321	-8.1879e-05	0.000172002
0.000146682	-8.2454e-05	0.000173005
0.000148251	-8.3225e-05	0.000172664
0.000147974	-8.061e-05	0.00017287
0.00014695	-8.2077e-05	0.000173586
0.000146937	-8.2596e-05	0.000172499
0.00015003	-8.0703e-05	0.000171794
0.000145257	-8.284e-05	0.000172518
0.000147621	-8.124e-05	0.000173681
0.000147368	-8.1437e-05	0.000171427
0.00014693	-8.1576e-05	0.00017132
0.000148527	-8.3273e-05	0.000174039
0.000147304	-8.0619e-05	0.000172078
0.000148445	-8.277e-05	0.000172484
0.000148264	-8.2119e-05	0.000171981
0.000147553	-8.0717e-05	0.000172354
0.000145966	-8.3124e-05	0.000173029
0.000147003	-8.2494e-05	0.000172484
0.000148539	-8.2406e-05	0.000171888
0.000147795	-8.1941e-05	0.000172787
0.000148605	-8.1762e-05	0.00017084
0.000149346	-8.1425e-05	0.000171352
0.000147702	-8.4689e-05	0.000172179
0.000148127	-8.1309e-05	0.000171396
0.000149243	-8.1613e-05	0.000173531
0.000146921	-8.2021e-05	0.00017171
0.000147765	-8.1835e-05	0.000174643
0.000147842	-8.1554e-05	0.000173152
0.000148929	-8.319e-05	0.000172377
0.000147025	-8.256e-05	0.000173423
0.000145909	-8.1454e-05	0.000174188
0.000147198	-8.3378e-05	0.000172606
0.000148594	-8.2326e-05	0.00017291
0.00014796	-8.3034e-05	0.000171664
0.000146366	-8.2039e-05	0.000170112
0.000146525	-8.2213e-05	0.000174762
0.000144979	-8.0456e-05	0.000172052
0.000148343	-8.2515e-05	0.000173279
0.000148629	-8.2643e-05	0.000170052
0.000147505	-8.2255e-05	0.000172222
0.000147624	-8.3139e-05	0.000173738
0.000145846	-8.2139e-05	0.000172394
0.000147915	-8.0998e-05	0.00017183
0.0001473	-8.2455e-05	0.000171783
0.000148021	-8.2115e-05	0.000171039
0.000143917	-8.264e-05	0.000171089
0.000146703	-8.3714e-05	0.000170873
0.000146554	-8.2938e-05	0.000172724
0.00014693	-8.3708e-05	0.000170925
0.000146346	-8.2695e-05	0.000169909
0.000147284	-8.4771e-05	0.000170823
0.000145298	-8.3606e-05	0.000172295
0.000146445	-8.2867e-05	0.000172045
0.000146166	-8.2036e-05	0.000173574
0.000146733	-8.3068e-05	0.000171768
0.000145972	-8.4333e-05	0.000172074
0.000145832	-8.3034e-05	0.000169226
0.000145485	-8.3442e-05	0.00017232
0.000144113	-8.3305e-05	0.000172455
0.000147036	-8.2819e-05	0.000170829
0.000146146	-8.3429e-05	0.000171763
0.000146738	-8.2464e-05	0.000171615
0.000145678	-8.3923e-05	0.00017218
0.000144934	-8.1757e-05	0.000170692
0.000146559	-8.3886e-05	0.00017057
0.000146783	-8.3634e-05	0.000172668
0.000146317	-8.1874e-05	0.000169753
0.00014804	-8.2262e-05	0.000173874
0.000146312	-8.1674e-05	0.000171578
0.000146738	-8.3828e-05	0.000170258
0.000146138	-8.2172e-05	0.000171996
0.000145449	-8.2319e-05	0.000171154
0.000146627	-8.2849e-05	0.000170578
0.000146952	-8.3116e-05	0.000169875
0.000145936	-8.3516e-05	0.000171752
0.000146319	-8.2223e-05	0.000170903
0.000144685	-8.3267e-05	0.000169929
0.000146353	-8.305e-05	0.00016842
0.000146057	-8.5547e-05	0.000170263
0.000146371	-8.3623e-05	0.000170343
0.000145157	-8.4051e-05	0.000171359
0.000144051	-8.2142e-05	0.000170796
0.000144108	-8.4224e-05	0.000170596
0.000145856	-8.3836e-05	0.000169632
0.000145077	-8.3654e-05	0.000170937
0.000144463	-8.5547e-05	0.000169935
0.000146023	-8.257e-05	0.000169464
0.00014598	-8.2351e-05	0.000170907
0.000145503	-8.4952e-05	0.000170353
0.00014637	-8.3268e-05	0.000169318
0.000145141	-8.4045e-05	0.00017156
0.000146262	-8.2454e-05	0.000169408
0.000145829	-8.2972e-05	0.000170496
0.00014569	-8.2566e-05	0.000171799
0.000145368	-8.4835e-05	0.000168906
0.000147508	-8.0718e-05	0.000170038
0.000146909	-8.1434e-05	0.000169329
0.000145982	-8.54e-05	0.000170412
0.000146172	-8.2538e-05	0.000170422
0.000147951	-8.2873e-05	0.000170326
0.000146715	-8.4116e-05	0.000171738
0.000145843	-8.1949e-05	0.00017236
0.000145689	-8.366e-05	0.000172343
0.000147633	-8.491e-05	0.000172112
0.000145946	-8.3111e-05	0.000169935
0.000146406	-8.3262e-05	0.000171257
0.000146094	-8.2296e-05	0.000171953
0.000146173	-8.2494e-05	0.000171137
0.000146157	-8.2796e-05	0.000171123
0.000144932	-8.2645e-05	0.000170336
0.00014607	-8.405e-05	0.000172212
0.000146358	-8.301e-05	0.000170515
0.000146245	-8.4025e-05	0.000169936
0.00014501	-8.3465e-05	0.000170004
0.000146013	-8.0773e-05	0.000170102
0.000146683	-8.4286e-05	0.000169223
0.000145603	-8.4155e-05	0.000171009
0.000148265	-8.2916e-05	0.000169918
0.000145738	-8.3525e-05	0.000169577
0.000146328	-8.282e-05	0.000170499
0.000148567	-8.4502e-05	0.000170293
0.000144916	-8.233e-05	0.000171515
0.000146629	-8.2892e-05	0.000170371
0.000146352	-8.2761e-05	0.000168575
0.000146917	-8.3993e-05	0.000169824
0.000144553	-8.2951e-05	0.000171403
0.000147228	-8.38e-05	0.000169904
0.000145846	-8.5056e-05	0.000169385
0.000146361	-8.4708e-05	0.000171585
0.000146138	-8.339e-05	0.000170915
0.000144422	-8.3224e-05	0.000170716
0.000145384	-8.2663e-05	0.000170707
0.000145258	-8.4015e-05	0.000171214
0.000146708	-8.0961e-05	0.000171715
0.00014572	-8.4455e-05	0.00016961
0.000147242	-8.3248e-05	0.000172031
0.000144386	-8.2885e-05	0.0001671
0.000146182	-8.3382e-05	0.000170228
0.000145028	-8.4004e-05	0.000172107
0.000145936	-8.2911e-05	0.000171951
0.000146378	-8.3508e-05	0.000170563
0.00014335	-8.5713e-05	0.000170418
0.000146147	-8.4307e-05	0.000169106
0.000144783	-8.4043e-05	0.000169949
0.000143895	-8.2611e-05	0.000172208
0.000146777	-8.2634e-05	0.000170661
0.000145145	-8.2816e-05	0.000168312
0.000146244	-8.4964e-05	0.000170697
0.000146407	-8.1923e-05	0.000170549
0.000144922	-8.2464e-05	0.00017084
0.000144887	-8.2525e-05	0.000169956
0.000143926	-8.3729e-05	0.000169817
0.000145517	-8.4387e-05	0.000170693
0.000146991	-8.3474e-05	0.000171998
0.000145688	-8.3591e-05	0.000170309
0.000145677	-8.348e-05	0.000170193
0.000146853	-8.2289e-05	0.0001713
0.000146709	-8.3291e-05	0.000170648
0.00014523	-8.2167e-05	0.000169645
0.00014855	-8.4302e-05	0.000171787
0.000146167	-8.2311e-05	0.000170301
0.000145055	-8.2631e-05	0.00017092
0.000145886	-8.3552e-05	0.000171584
0.000145589	-8.3176e-05	0.000171249
0.000145224	-8.3501e-05	0.000170297
0.000147287	-8.1634e-05	0.000172444
0.000145166	-8.3606e-05	0.000171392
0.000144933	-8.3955e-05	0.000171963
0.000144528	-8.3754e-05	0.000171194
0.000145419	-8.345e-05	0.00017251
0.000145396	-8.1783e-05	0.000170036
0.000144442	-8.2623e-05	0.000169288
0.000143972	-8.4507e-05	0.000171914
0.000146429	-8.3195e-05	0.000170194
0.000144595	-8.215e-05	0.000170061
0.000146198	-8.4155e-05	0.000167983
0.0001465	-8.2888e-05	0.000170808
0.000146501	-8.3448e-05	0.000169135
0.00014425	-8.325e-05	0.000172019
0.00014655	-8.1654e-05	0.000169684
0.000145133	-8.2347e-05	0.000171655
0.000145166	-8.4459e-05	0.000170975
0.000145846	-8.2418e-05	0.000171067
0.000145366	-8.3794e-05	0.00016959
0.000148066	-8.0839e-05	0.000171777
0.000146325	-8.3131e-05	0.00017369
0.000147479	-8.2135e-05	0.000172202
0.000145466	-8.2169e-05	0.000170933
0.000145646	-8.2248e-05	0.000171376
0.000144818	-8.239e-05	0.000169835
0.000145882	-8.3443e-05	0.000171403
0.000146042	-8.3099e-05	0.000170045
0.000146651	-8.5248e-05	0.0001713
0.0001457	-8.3382e-05	0.000168595
0.00014475	-8.1516e-05	0.000171045
0.000147131	-8.3402e-05	0.000170857
0.000146172	-8.0852e-05	0.000170908
0.00014717	-8.1642e-05	0.000171027
0.000146834	-8.417e-05	0.000170172
0.000146934	-8.3414e-05	0.000167362
0.000146628	-8.3132e-05	0.000171316
0.000146141	-8.2161e-05	0.000170033
0.000145108	-8.0708e-05	0.000168573
0.000145278	-8.3122e-05	0.00017157
0.000144543	-8.3974e-05	0.000173176
0.000146135	-8.433e-05	0.000170586
0.000146838	-8.2444e-05	0.000171812
0.000146435	-8.2364e-05	0.000171829
0.000146798	-8.1686e-05	0.000170722
0.000147241	-8.2611e-05	0.000171475
0.00014686	-8.3257e-05	0.000170674
0.00014479	-8.3049e-05	0.000168832
0.000147563	-8.1766e-05	0.000169354
0.000147583	-8.2411e-05	0.000171498
0.000145661	-8.3066e-05	0.000172165
0.000146996	-8.2022e-05	0.000171457
0.000144121	-8.273e-05	0.000170909
0.000145492	-8.305e-05	0.000173064
0.00014468	-8.2065e-05	0.000172177
0.000146112	-8.2911e-05	0.000170751
0.00014532	-8.1505e-05	0.000171727
0.000146328	-8.2145e-05	0.000169777
0.000145579	-8.3369e-05	0.000170734
0.000146809	-8.0343e-05	0.000173691
0.000146862	-8.3104e-05	0.000173054
0.000145763	-8.4126e-05	0.000170694
0.000146625	-8.1048e-05	0.000171516
0.000146035	-8.2816e-05	0.000171894
0.000146535	-8.251e-05	0.000171973
0.000143668	-8.3312e-05	0.000171968
0.000146637	-8.395e-05	0.000170487
0.000147829	-8.3653e-05	0.000171963
0.000146049	-8.3454e-05	0.00016929
0.000145769	-8.189e-05	0.000170074
0.000146246	-8.1829e-05	0.000171319
0.000145951	-8.2734e-05	0.000171019
0.000146774	-8.1668e-05	0.000172172
0.000143335	-8.4795e-05	0.000170704
0.000145656	-8.1957e-05	0.000170027
0.000144887	-8.4008e-05	0.000173295
0.000145878	-8.379e-05	0.000171348
0.000147643	-8.3824e-05	0.0001747
0.000151711	-8.5806e-05	0.000175456
0.000154644	-8.5482e-05	0.000179507
0.000158929	-8.9934e-05	0.000183622
0.000162054	-9.1813e-05	0.000188383
0.000160119	-9.3463e-05	0.000187649
0.000163188	-9.4822e-05	0.000188809
0.000161555	-9.3869e-05	0.000188582
0.000161097	-9.6938e-05	0.000187848
0.000161129	-9.5435e-05	0.000189773
0.000160972	-9.2895e-05	0.000188065
0.000163204	-9.5656e-05	0.000188777
0.000160413	-9.6454e-05	0.000191511
0.000162576	-9.6001e-05	0.000189983
0.000167982	-9.9399e-05	0.000193985
0.000172791	-0.000109546	0.000203263
0.000175797	-0.000116535	0.0002114
0.000177752	-0.000122732	0.000213295
0.000180567	-0.000125631	0.000216007
0.000181447	-0.000127053	0.000215889
0.000180261	-0.000130425	0.00021641
0.000180249	-0.000130095	0.000216625
0.000179097	-0.000132163	0.000216608
0.000179033	-0.000132508	0.000215086
0.000179378	-0.000130061	0.000215651
0.000179721	-0.000132125	0.000215689
0.000177474	-0.000133148	0.000217038
0.000177854	-0.000133579	0.000216038
0.000182351	-0.000133753	0.000217237
0.000181871	-0.000133418	0.000217909
0.000183974	-0.000137402	0.000221534
0.000188815	-0.000148772	0.0002268
0.000190639	-0.000162671	0.000231329
0.00019363	-0.000168221	0.000235618
0.000191893	-0.000172704	0.000235281
0.000192158	-0.000175315	0.000237005
0.000194341	-0.000177645	0.000234198
0.000190282	-0.000177417	0.000238115
0.000193742	-0.000178189	0.000237035
0.000193029	-0.000178123	0.000236547
0.000192084	-0.000177071	0.000238284
0.000193638	-0.000178802	0.000235186
0.000192206	-0.000177536	0.000235435
0.000192825	-0.000176935	0.000235833
0.000193256	-0.000179369	0.000237391
0.000197865	-0.000181212	0.000242895
0.00019988	-0.000188749	0.000244378
0.000198291	-0.000205943	0.000248433
0.000200815	-0.000219395	0.000248119
